source,target
0,11546
0,8723
1,4274
1,7942
2,3367
2,9598
3,12393
3,714
4,9511
4,12364
4,2054
5,6210
5,40
5,1284
6,6747
6,9094
6,964
7,625
7,2417
7,8330
7,12420
8,11928
8,5160
8,5566
9,3514
9,7973
10,11740
10,12600
10,10497
11,1226
11,6473
11,11938
12,11134
12,6156
12,9057
13,5712
13,12602
14,2000
14,5514
14,7156
14,9983
15,5048
15,12201
15,5019
16,12611
16,1024
17,11361
17,11730
17,7610
17,1164
18,11548
18,8295
18,12703
19,8028
19,7211
20,8529
20,11370
21,8855
21,8028
22,2970
22,1919
23,8648
23,10581
23,9400
24,7679
24,7394
24,6434
25,8501
25,6786
25,5363
26,4703
26,169
26,9760
26,9322
26,4221
27,4763
27,1791
27,5295
27,124
28,6881
28,6140
28,12383
29,2740
29,3313
30,6540
30,8459
30,7865
31,4536
31,12453
31,3986
32,5693
32,11794
32,8414
33,1230
33,12151
33,1462
34,9795
34,6565
34,2933
35,8997
35,2851
35,8847
36,5737
36,6520
37,4792
37,7287
37,416
38,2383
38,1911
38,1793
38,3326
38,7042
39,4485
39,7439
39,9928
40,11249
41,8831
41,4040
42,7444
42,7393
43,9884
43,3614
44,7932
44,76
44,10221
44,6375
44,9537
45,11182
45,5796
46,3249
46,10542
46,7481
47,10697
47,9079
48,5530
48,5001
48,10870
49,6826
49,8061
49,2610
50,7418
50,10109
51,2235
51,11332
51,1423
52,11404
52,8638
52,10774
52,1126
53,12463
53,2490
53,4463
54,2782
54,7695
54,1035
54,11002
55,11458
55,5683
56,1190
56,511
56,6116
57,9383
57,5045
57,6730
57,12431
58,3018
58,3893
58,781
59,2318
59,4198
60,8342
60,12923
61,1201
61,10534
61,11884
62,1735
62,7373
62,1066
62,5078
63,10137
63,11402
64,469
64,599
65,7296
65,5519
65,2576
65,252
65,3955
66,8886
66,9827
67,12644
67,10460
67,2295
67,1425
68,12378
68,4579
69,11037
69,8499
70,3949
70,7072
71,12061
71,4356
72,835
72,11522
72,11404
73,3167
73,4014
73,11386
74,7500
74,5521
75,5139
75,12142
76,2841
77,4001
77,2717
77,11785
77,12343
78,4286
78,5026
78,1673
78,3795
79,4011
79,1767
80,5641
80,7677
80,1804
80,5320
81,4163
81,12127
82,1197
82,4281
82,11220
82,12254
83,7271
83,7935
83,11957
84,1694
84,9973
85,2792
85,3243
85,11243
86,4240
86,10671
86,12053
87,6867
87,6908
88,1330
88,7982
88,5104
89,5807
89,3013
89,10348
89,11127
89,8441
89,12479
90,11142
90,8287
90,10974
90,4483
91,10923
91,11904
92,4798
92,1259
92,12835
92,3116
93,1250
93,3637
93,12140
93,1457
93,10304
94,8184
94,11284
95,11533
95,682
95,10521
96,4116
96,8625
96,7941
97,305
97,842
97,3938
98,3069
98,5299
99,8637
99,4015
100,9480
100,5752
101,7589
101,3609
101,6022
102,1472
102,7146
102,4532
103,5222
103,10537
104,7894
104,5140
104,9582
104,9408
105,828
105,9152
106,5932
106,4600
106,5983
106,5350
107,12382
107,5862
107,4694
108,4835
108,7674
109,7469
109,12303
109,2805
110,5451
110,12374
110,12199
111,8426
111,3966
111,11513
111,1990
111,9845
112,12944
112,2741
113,4665
113,2780
113,3316
114,5697
114,5265
114,3014
115,5461
115,4937
115,9403
115,8067
116,3111
116,5857
117,10508
117,12048
118,1295
118,12964
118,1619
119,8380
119,5038
119,3993
120,1817
120,4267
120,6867
120,1850
121,2285
121,2374
121,5901
122,846
122,2316
122,828
123,8356
123,10149
124,12808
124,2147
124,1657
125,6127
125,4878
126,902
126,5469
127,5074
127,7841
128,1302
128,10139
129,8082
129,683
130,4034
130,10457
131,3720
131,6827
131,2200
132,8759
132,1760
133,4717
133,8396
133,1683
134,6545
134,3059
134,6095
134,9334
135,907
135,1150
135,3015
136,9857
136,6195
137,10626
137,12955
138,1329
138,12653
138,7474
139,12661
139,1434
139,1948
140,4579
140,12816
140,11318
140,11033
141,3456
141,8276
141,6611
141,6164
142,5814
142,5790
143,7583
143,8335
143,2968
144,4897
144,12382
145,9863
145,8874
146,5449
146,12098
147,5709
147,7311
148,10986
148,615
148,11721
148,1764
149,12790
149,2358
150,11236
150,7492
151,4666
151,186
151,3776
152,4558
152,11211
153,597
153,1939
153,2066
154,12715
154,8921
154,3232
154,12170
155,4077
155,9097
155,10290
156,3458
156,4272
156,11013
156,3855
157,6007
157,5582
157,7209
158,11188
158,6352
158,5714
158,4858
159,10960
159,12265
160,3121
160,6097
160,7208
161,7089
161,6052
162,9011
162,7550
162,10822
162,11679
163,4814
163,8253
163,7342
164,2362
164,876
164,9309
165,3951
165,7461
165,7770
166,2831
166,10610
166,8965
167,6691
167,11784
167,3576
168,8795
168,4763
168,7947
168,5320
169,2296
169,12383
169,7834
170,406
170,9306
170,2900
170,1792
171,9283
171,10346
172,5701
172,2074
172,11397
172,4107
173,3710
173,2367
174,9210
174,1482
174,3124
175,9464
175,10605
175,4989
175,12115
175,3211
176,12127
176,7707
176,6259
176,2355
176,10109
177,11187
177,9338
178,7600
178,4321
179,12347
179,1397
179,2680
180,11905
180,9481
181,12881
181,2456
181,7494
181,6334
182,4660
182,6944
183,3731
183,6434
184,7786
184,10593
184,3747
185,7167
185,7448
185,11408
185,2809
186,3895
186,12538
187,8276
187,8110
187,5929
187,4424
187,4769
188,831
188,7887
189,7716
189,1286
189,1367
189,10039
190,5263
190,2543
190,2641
190,8545
190,674
191,3405
191,370
192,6108
192,5389
193,6939
193,10516
193,2284
193,12552
194,8696
194,9775
195,644
195,12136
195,9354
195,10625
195,9578
196,2210
196,3342
196,10227
196,5116
197,11184
197,2164
198,7586
198,4508
199,1124
199,1770
199,637
200,537
200,8409
200,3840
201,7913
201,4289
202,929
202,11545
202,6517
202,8142
203,2757
203,9653
203,3107
204,7287
204,12786
204,6936
205,7165
205,1218
205,10256
206,3100
206,4366
206,2815
207,9485
207,4791
207,2700
208,11967
208,2375
208,4139
208,2582
209,231
209,8362
209,9831
209,977
210,11456
210,11661
210,1196
210,8530
211,11135
211,10829
212,7947
212,8571
212,12427
213,5182
213,941
213,9147
213,10701
214,2603
214,247
214,11419
214,11265
215,7593
215,10061
215,9574
216,1241
216,5427
216,4659
216,9801
217,5195
217,7817
217,7553
218,11295
218,9432
218,11695
218,364
219,11067
219,12216
219,10542
220,6412
220,8652
221,8994
221,10111
221,3610
222,10277
222,11945
223,3356
223,418
224,8436
224,6877
225,6960
225,8823
226,5997
226,8370
226,2377
227,11753
227,5577
227,10336
227,9335
227,10383
228,392
228,8488
228,2462
228,9925
228,11094
228,7948
229,6016
229,6647
229,2304
230,12043
230,12002
230,9300
231,6387
231,3757
232,4916
232,8057
233,327
233,9802
233,12394
234,10063
234,10114
234,12323
234,1034
235,1882
235,8054
235,6390
236,591
236,4264
236,3764
236,6629
237,10108
237,5570
237,12141
237,4813
238,7156
238,1651
238,1068
239,6071
239,12572
239,3934
239,696
239,2691
240,6176
240,260
241,9013
241,3590
241,12863
242,12044
242,9414
242,5355
243,9719
243,7706
244,4279
244,7401
245,273
245,3018
245,1943
246,9126
246,10351
246,10201
247,1496
247,11169
248,3636
248,8296
248,9726
249,6260
249,10317
249,4405
249,11553
250,8236
250,5330
251,9099
251,4195
251,7920
252,3486
252,2508
252,7194
253,7042
253,8164
253,3533
253,8972
254,2954
254,1294
255,10551
255,1502
255,9402
256,11280
256,7794
257,6251
257,6579
257,6480
258,9913
258,7546
259,11178
259,2925
259,10734
259,9011
260,12888
261,12529
261,8267
261,7383
262,11757
262,1929
262,1854
263,2108
263,8144
264,2715
264,3754
265,4424
265,6501
265,10198
266,11017
266,1232
267,11153
267,2551
267,6192
268,10883
268,1390
269,12360
269,6493
269,6120
270,11811
270,10085
270,5115
271,3345
271,12077
271,7770
272,2636
272,3165
273,7378
273,3163
273,2517
274,3778
274,4325
274,6212
275,7311
275,2069
275,7008
276,10341
276,12440
277,11445
277,11986
277,7988
278,8703
278,6785
278,2773
278,9436
279,6596
279,9027
280,4797
280,7808
280,11819
281,421
281,7483
281,8976
281,11057
281,1499
282,496
282,11696
282,10438
283,7993
283,3163
283,9741
283,4690
284,11622
284,4454
285,10530
285,1009
286,7266
286,9986
286,2013
287,5725
287,7869
288,4815
288,9782
288,12144
288,1634
289,9375
289,6267
289,661
290,8541
290,830
291,4042
291,9412
291,5581
291,6889
292,2340
292,12918
293,6655
293,5328
293,12466
294,937
294,5362
295,1107
295,6691
295,9660
296,7130
296,9730
297,5307
297,491
297,2629
297,11840
298,2175
298,6936
298,7744
299,5771
299,4424
299,7718
300,2626
300,7177
300,9221
301,10920
301,9536
302,9067
302,3858
303,2065
303,2362
304,3866
304,11718
304,6824
305,11935
306,6418
306,2699
307,12431
307,4435
307,2637
308,6401
308,6232
308,2479
309,6579
309,10150
309,5320
310,12384
310,5863
310,3079
310,8608
311,11319
311,8300
311,12391
312,7101
312,4027
312,7473
313,4523
313,7443
313,9819
313,8423
314,5333
314,12281
315,11486
315,8718
316,9200
316,6521
317,3236
317,4018
317,7098
317,3086
317,9004
318,1563
318,7305
318,1870
318,2412
319,5591
319,5318
320,9963
320,12475
321,4460
321,9024
322,5721
322,10570
322,12778
323,4756
323,4811
324,10610
324,4649
324,11715
325,4230
325,407
325,1457
325,9710
325,375
325,10565
326,10767
326,6410
327,5200
328,1343
328,9528
329,1587
329,5270
329,2665
329,10785
330,1782
330,11926
330,12471
330,7455
331,5398
331,1354
331,11368
332,11605
332,5497
332,9090
332,11247
333,6862
333,11376
334,11845
334,6717
334,6997
335,630
335,8100
336,8812
336,596
337,12712
337,5963
338,8255
338,5578
338,6267
338,4697
339,3176
339,6155
340,4902
340,7451
340,9110
340,3913
340,1203
341,5651
341,2291
341,4787
342,8625
342,10511
343,4242
343,6773
344,589
344,430
345,6581
345,8855
346,7989
346,2403
346,961
347,9465
347,11874
347,5511
348,8826
348,857
349,8054
349,10298
350,1125
350,6875
350,9650
351,9037
351,12222
351,11739
351,5836
351,6225
352,12028
352,8460
352,1689
353,7933
353,1571
353,9891
354,7275
354,1955
354,8257
355,5604
355,8887
355,968
356,2565
356,2673
356,3364
357,840
357,10640
357,3778
357,10872
358,12745
358,9957
358,6182
359,11881
359,3602
360,12213
360,12311
360,8920
361,10078
361,11715
361,3482
362,6538
362,11439
363,7871
363,6340
363,8659
364,1790
364,12446
364,6529
364,10037
364,2537
365,7108
365,5998
365,8875
366,6107
366,7714
367,6631
367,8785
367,2586
368,10977
368,8598
368,12975
368,2225
369,10442
369,7968
369,1847
369,9961
369,2221
370,6590
371,12929
371,1309
371,12353
372,10828
372,7445
373,4706
373,4717
374,7066
374,3601
374,5551
375,651
375,10798
376,4640
376,9705
376,8814
377,6234
377,6147
377,1270
378,9127
378,1550
378,11503
379,9023
379,7632
379,11279
380,12618
380,2166
380,4011
381,4509
381,8145
381,12103
382,4635
382,11411
383,5992
383,7512
383,8009
383,12078
384,4185
384,12585
384,4507
384,9196
385,8990
385,11255
386,10356
386,9654
386,11269
387,11671
387,12669
387,1927
387,5786
387,1456
388,10512
388,9955
389,6279
389,11709
389,3824
390,8469
390,2589
391,11659
391,3278
392,1153
393,4948
393,8695
394,1159
394,3692
395,2838
395,3544
396,4297
396,11345
397,9139
397,9770
398,7143
398,2335
398,5682
399,1866
399,6250
399,3773
400,6496
400,2006
401,6803
401,891
401,10641
402,845
402,9689
403,11883
403,12832
404,2933
404,11556
405,1621
405,3934
405,6882
405,10129
406,1068
406,1438
406,11448
407,9907
407,4315
407,3057
408,9421
408,12244
409,6144
409,2208
409,8672
410,3912
410,10779
410,9213
411,5575
411,10548
411,4379
411,5992
412,3143
412,5716
413,4775
413,1154
413,2492
414,12322
414,5957
414,628
415,7994
415,4848
415,614
415,9558
416,10937
416,744
416,1252
417,6969
417,8462
417,5066
418,10353
419,4205
419,630
419,11362
420,9826
420,11956
421,9351
421,7564
421,1965
422,3414
422,4877
422,9810
423,3567
423,11993
423,8920
424,6933
424,6050
424,11744
425,8249
425,11849
426,2877
426,8352
427,6606
427,4769
428,11435
428,2716
428,12290
429,3700
429,3704
429,10980
429,443
430,12644
430,7639
431,6864
431,4278
432,9940
432,3447
432,6904
432,9795
433,1757
433,5007
434,686
434,11179
435,12176
435,7208
435,4393
435,11211
436,5188
436,8776
436,6282
437,8712
437,11911
437,7688
437,1625
438,9672
438,7366
438,10491
439,8507
439,3145
439,12308
439,12890
440,10705
440,11161
441,3186
441,12854
441,5220
442,6213
442,2689
442,7478
443,859
443,5023
444,9508
444,2140
445,10303
445,6326
445,2196
446,3620
446,11851
447,3034
447,4975
447,2139
447,12132
448,11853
448,5764
448,1731
449,12486
449,2847
450,12027
450,11930
450,3636
450,10534
451,10314
451,6771
451,2210
452,7030
452,6803
453,12097
453,6144
454,10084
454,10975
454,3102
454,11230
455,779
455,8804
455,12633
455,1889
455,9995
456,11147
456,12223
457,12770
457,3802
457,5764
458,5218
458,10906
459,7742
459,11623
459,8848
459,11290
460,12862
460,9798
460,961
460,8451
460,8951
460,12915
460,5279
461,603
461,977
461,9893
461,12011
461,2641
462,4434
462,11438
462,8187
462,2856
463,8302
463,9389
464,9837
464,10686
464,10261
464,5995
465,895
465,6056
465,8716
466,2085
466,12823
466,3483
466,12514
467,6934
467,9650
467,3362
468,1065
468,3412
469,9859
470,2893
470,2708
471,5634
471,8256
471,2051
472,10004
472,4420
473,804
473,834
473,11675
473,10380
474,2041
474,5904
475,6023
475,8066
476,6682
476,9922
476,1903
477,11105
477,9701
478,12331
478,8196
478,6012
479,4529
479,6996
479,767
479,12880
479,9074
480,3460
480,11708
481,7095
481,11311
482,12815
482,5287
482,1492
482,7349
482,9547
483,4868
483,11024
484,3319
484,708
484,10746
484,1354
485,3844
485,9211
486,12953
486,5207
486,1710
486,8573
486,3371
487,12296
487,10072
487,5681
488,1152
488,3405
489,2282
489,5457
490,3733
490,10432
491,601
491,11534
491,1015
491,6827
492,7837
492,1704
492,5470
493,9701
493,770
494,7184
494,5193
494,3519
494,1305
495,4538
495,12339
495,5875
495,789
496,12498
497,5134
497,10853
498,9116
498,10823
498,10007
498,11376
499,8576
499,11440
500,3987
500,9324
500,7111
500,2717
500,10556
501,6817
501,11663
502,2955
502,11869
503,12857
503,8793
503,3609
503,10611
504,582
504,9784
505,10566
505,12162
505,9103
505,10671
506,2091
506,5090
506,12392
507,8220
507,9409
507,5017
508,11266
508,4949
508,11654
508,7857
509,12850
509,11033
509,11260
510,8145
510,1566
510,9384
511,7537
511,10987
511,12901
511,10193
512,9010
512,4797
512,4822
512,12504
513,4648
513,6863
513,3918
514,8539
514,7636
515,5768
515,1097
515,4576
515,12511
516,9783
516,2187
516,8344
516,8152
517,11717
517,9064
517,2499
518,6024
518,3776
518,866
519,5523
519,7691
519,10354
519,5833
520,4961
520,5398
520,10014
520,3862
521,11781
521,11160
522,10720
522,7902
523,10550
523,6960
524,7794
524,10705
524,4199
525,1450
525,10637
525,10271
526,11124
526,11778
527,1707
527,2731
527,7919
527,1995
527,9004
528,12821
528,10044
528,2791
529,7937
529,3933
529,10180
530,2580
530,6693
531,5375
531,2497
531,2950
532,9091
532,6394
533,4855
533,12785
534,4958
534,5203
535,10470
535,8250
536,4079
536,2356
537,9275
537,7800
538,5121
538,7245
538,5597
538,6621
539,7949
539,3863
539,1716
540,10172
540,10854
541,1144
541,1119
541,10499
542,7424
542,10734
542,5353
543,6530
543,1650
543,7848
543,11043
544,1326
544,5103
544,8857
545,7784
545,12451
545,12273
545,11374
546,11707
546,11063
547,12307
547,10203
548,3113
548,3350
548,12358
548,5250
549,1583
549,5368
549,2672
550,3256
550,10692
551,3852
551,6088
552,1903
552,1784
553,2864
553,3215
553,7941
554,6643
554,3904
555,12622
555,9108
555,1338
556,7088
556,8739
557,11526
557,5322
557,4667
558,1952
558,7447
558,9849
558,1241
559,3194
559,5412
559,9519
